--- PREEMPTIVE PRIORITY GANTT ---
[793.079] -- P033 -- [813.079]
[813.080] -- P036 -- [822.080]
[822.081] -- P039 -- [840.081]
[840.082] -- P042 -- [847.082]
[847.083] -- P045 -- [863.083]
[863.084] -- P048 -- [868.084]
[868.085] -- P051 -- [882.085]
[882.086] -- P054 -- [885.086]
[885.087] -- P057 -- [897.087]
[897.088] -- P060 -- [898.088]
[898.089] -- P063 -- [908.089]
[908.090] -- P066 -- [927.090]
[927.091] -- P069 -- [935.091]
[935.092] -- P072 -- [952.092]
[952.093] -- P075 -- [958.093]
[958.094] -- P078 -- [973.094]
[973.095] -- P081 -- [977.095]
[977.096] -- P084 -- [990.096]
[990.097] -- P087 -- [992.097]
[992.098] -- P090 -- [1003.098]
[1003.099] -- P093 -- [1023.099]
[1023.100] -- P096 -- [1032.100]
[1032.101] -- P099 -- [1050.101]

=== RESULTS ===
Avg Waiting: 411.4408
Avg Turnaround: 421.9408
Total Context Switches: 101
CPU Efficiency: %99.99
