--- PREEMPTIVE SJF GANTT ---
[632.091] -- P045 -- [648.091]
[648.092] -- P065 -- [664.092]
[664.093] -- P085 -- [680.093]
[680.094] -- P012 -- [697.094]
[697.095] -- P032 -- [714.095]
[714.096] -- P052 -- [731.096]
[731.097] -- P072 -- [748.097]
[748.098] -- P092 -- [765.098]
[765.099] -- P019 -- [783.099]
[783.100] -- P039 -- [801.100]
[801.101] -- P059 -- [819.101]
[819.102] -- P079 -- [837.102]
[837.103] -- P099 -- [855.103]
[855.104] -- P006 -- [874.104]
[874.105] -- P026 -- [893.105]
[893.106] -- P046 -- [912.106]
[912.107] -- P066 -- [931.107]
[931.108] -- P086 -- [950.108]
[950.109] -- P013 -- [970.109]
[970.110] -- P033 -- [990.110]
[990.111] -- P053 -- [1010.111]
[1010.112] -- P073 -- [1030.112]
[1030.113] -- P093 -- [1050.113]

=== RESULTS ===
Avg Waiting: 267.9151
Avg Turnaround: 278.4151
Total Context Switches: 113
CPU Efficiency: %99.99
