--- PRIORITY GANTT ---
[1751.167] -- P102 -- [1753.167]
[1753.168] -- P105 -- [1758.168]
[1758.169] -- P108 -- [1766.169]
[1766.170] -- P111 -- [1777.170]
[1777.171] -- P114 -- [1791.171]
[1791.172] -- P117 -- [1808.172]
[1808.173] -- P120 -- [1828.173]
[1828.174] -- P123 -- [1831.174]
[1831.175] -- P126 -- [1837.175]
[1837.176] -- P129 -- [1846.176]
[1846.177] -- P132 -- [1858.177]
[1858.178] -- P135 -- [1873.178]
[1873.179] -- P138 -- [1891.179]
[1891.180] -- P141 -- [1892.180]
[1892.181] -- P144 -- [1896.181]
[1896.182] -- P147 -- [1903.182]
[1903.183] -- P150 -- [1913.183]
[1913.184] -- P153 -- [1926.184]
[1926.185] -- P156 -- [1942.185]
[1942.186] -- P159 -- [1961.186]
[1961.187] -- P162 -- [1963.187]
[1963.188] -- P165 -- [1968.188]
[1968.189] -- P168 -- [1976.189]
[1976.190] -- P171 -- [1987.190]
[1987.191] -- P174 -- [2001.191]
[2001.192] -- P177 -- [2018.192]
[2018.193] -- P180 -- [2038.193]
[2038.194] -- P183 -- [2041.194]
[2041.195] -- P186 -- [2047.195]
[2047.196] -- P189 -- [2056.196]
[2056.197] -- P192 -- [2068.197]
[2068.198] -- P195 -- [2083.198]
[2083.199] -- P198 -- [2101.199]

=== RESULTS FOR case2.csv ===
Avg Waiting: 824.8695
Avg Turnaround: 835.3695
Throughput T=50: 8
Throughput T=100: 13
Throughput T=150: 16
Throughput T=200: 21
Total Context Switches: 200
CPU Efficiency: %99.94
