--- PRIORITY GANTT ---
[0.001] -- P001 -- [4.001]
[4.002] -- P002 -- [11.002]
[11.003] -- P004 -- [24.003]
[24.004] -- P007 -- [26.004]
[26.005] -- P010 -- [37.005]
[37.006] -- P013 -- [57.006]
[57.007] -- P016 -- [66.007]
[66.008] -- P019 -- [84.008]
[84.009] -- P022 -- [91.009]
[91.010] -- P025 -- [107.010]
[107.011] -- P028 -- [112.011]
[112.012] -- P031 -- [126.012]
[126.013] -- P034 -- [129.013]
[129.014] -- P037 -- [141.014]
[141.015] -- P040 -- [142.015]
[142.016] -- P043 -- [152.016]
[152.017] -- P046 -- [171.017]
[171.018] -- P049 -- [179.018]
[179.019] -- P052 -- [196.019]
[196.020] -- P055 -- [202.020]
[202.021] -- P058 -- [217.021]
[217.022] -- P061 -- [221.022]
[221.023] -- P064 -- [234.023]
[234.024] -- P067 -- [236.024]
[236.025] -- P070 -- [247.025]
[247.026] -- P073 -- [267.026]
[267.027] -- P076 -- [276.027]
[276.028] -- P079 -- [294.028]
[294.029] -- P082 -- [301.029]
[301.030] -- P085 -- [317.030]
[317.031] -- P088 -- [322.031]
[322.032] -- P091 -- [336.032]
[336.033] -- P094 -- [339.033]
[339.034] -- P097 -- [351.034]
[351.035] -- P100 -- [352.035]
[352.036] -- P005 -- [368.036]
[368.037] -- P008 -- [373.037]
[373.038] -- P011 -- [387.038]
[387.039] -- P014 -- [390.039]
[390.040] -- P017 -- [402.040]
[402.041] -- P020 -- [403.041]
[403.042] -- P023 -- [413.042]
[413.043] -- P026 -- [432.043]
[432.044] -- P029 -- [440.044]
[440.045] -- P032 -- [457.045]
[457.046] -- P035 -- [463.046]
[463.047] -- P038 -- [478.047]
[478.048] -- P041 -- [482.048]
[482.049] -- P044 -- [495.049]
[495.050] -- P047 -- [497.050]
[497.051] -- P050 -- [508.051]
[508.052] -- P053 -- [528.052]
[528.053] -- P056 -- [537.053]
[537.054] -- P059 -- [555.054]
[555.055] -- P062 -- [562.055]
[562.056] -- P065 -- [578.056]
[578.057] -- P068 -- [583.057]
[583.058] -- P071 -- [597.058]
[597.059] -- P074 -- [600.059]
[600.060] -- P077 -- [612.060]
[612.061] -- P080 -- [613.061]
[613.062] -- P083 -- [623.062]
[623.063] -- P086 -- [642.063]
[642.064] -- P089 -- [650.064]
[650.065] -- P092 -- [667.065]
[667.066] -- P095 -- [673.066]
[673.067] -- P098 -- [688.067]
[688.068] -- P003 -- [698.068]
[698.069] -- P006 -- [717.069]
[717.070] -- P009 -- [725.070]
[725.071] -- P012 -- [742.071]
[742.072] -- P015 -- [748.072]
[748.073] -- P018 -- [763.073]
[763.074] -- P021 -- [767.074]
[767.075] -- P024 -- [780.075]
[780.076] -- P027 -- [782.076]
[782.077] -- P030 -- [793.077]
[793.078] -- P033 -- [813.078]
[813.079] -- P036 -- [822.079]
[822.080] -- P039 -- [840.080]
[840.081] -- P042 -- [847.081]
[847.082] -- P045 -- [863.082]
[863.083] -- P048 -- [868.083]
[868.084] -- P051 -- [882.084]
[882.085] -- P054 -- [885.085]
[885.086] -- P057 -- [897.086]
[897.087] -- P060 -- [898.087]
[898.088] -- P063 -- [908.088]
[908.089] -- P066 -- [927.089]
[927.090] -- P069 -- [935.090]
[935.091] -- P072 -- [952.091]
[952.092] -- P075 -- [958.092]
[958.093] -- P078 -- [973.093]
[973.094] -- P081 -- [977.094]
[977.095] -- P084 -- [990.095]
[990.096] -- P087 -- [992.096]
[992.097] -- P090 -- [1003.097]
[1003.098] -- P093 -- [1023.098]
[1023.099] -- P096 -- [1032.099]
[1032.100] -- P099 -- [1050.100]

=== RESULTS FOR case1.csv ===
Avg Waiting: 409.6805
Avg Turnaround: 420.1805
Throughput T=50: 5
Throughput T=100: 9
Throughput T=150: 15
Throughput T=200: 19
Total Context Switches: 100
CPU Efficiency: %99.99
